,SampleGName,Cells,CellType,OuabSeno,SampleID,SampleTypeID
ri9832,ri9832,ctr,eMSCs,not_affected,1,N1
ty0896,ty0896,ctr,eMSCs,not_affected,2,N1
ei7645,ei7645,ctr,eMSCs,not_affected,3,N1
ga2078,ga2078,ctr,eMSCs,not_affected,4,N1
pk0139,pk0139,sen,eMSCs,not_affected,1,N2
sk9753,sk9753,sen,eMSCs,not_affected,2,N2
as9549,as9549,sen,eMSCs,not_affected,3,N2
yj7517,yj7517,sen,eMSCs,not_affected,4,N2
SRR5931953,SRR5931953,ctr,A549,affected,1,N3
SRR5931954,SRR5931954,ctr,A549,affected,2,N3
SRR5931961,SRR5931961,sen,A549,affected,1,N4
SRR5931962,SRR5931962,sen,A549,affected,2,N4
SRR8145428,SRR8145428,ctr,IMR90,affected,1,N7
SRR8145429,SRR8145429,ctr,IMR90,affected,2,N7
SRR8145430,SRR8145430,ctr,IMR90,affected,3,N7
SRR8145446,SRR8145446,sen,IMR90,affected,1,N8
SRR8145447,SRR8145447,sen,IMR90,affected,2,N8
SRR8145448,SRR8145448,sen,IMR90,affected,3,N8
